date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:14	145748/145748	---M-Z	200	added ('OK')	text/css	etag:%2223954-5f1d4a67120a2-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/all.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/all8496.css	(from https://www.switchmobilityev.com/en)
15:58:14	119147/119147	---M-Z	200	added ('OK')	text/css	etag:%221d16b-5f1d4a6713042-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/fontawesome.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/fontawesome8496.css	(from https://www.switchmobilityev.com/en)
15:58:14	23689/23689	---M-Z	200	added ('OK')	text/css	etag:%225c89-5f1d4a6713042-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/brands.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/brands8496.css	(from https://www.switchmobilityev.com/en)
15:58:15	630/630	---M-Z	200	added ('OK')	text/css	etag:%22276-5f1d4a6713042-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/solid.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/fontawesome/css/solid8496.css	(from https://www.switchmobilityev.com/en)
15:58:15	1893/1893	---M-Z	200	added ('OK')	text/css	etag:%22765-5f1d4a67a09e7-gzip%22	https://www.switchmobilityev.com/themes/custom/switchmobility/resources/css/slick.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/themes/custom/switchmobility/resources/css/slick8496.css	(from https://www.switchmobilityev.com/en)
15:58:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2005%20Mar%202023%2010:28:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/BroaddCast/Switch/www.googletagmanager.com/gtm.465445.delayed	(from https://www.switchmobilityev.com/en)
15:58:16	87573/87573	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2010:28:14%20GMT	https://www.switchmobilityev.com/en/company	D:/BroaddCast/Switch/www.switchmobilityev.com/en/company.html	(from https://www.switchmobilityev.com/en)
15:58:16	67365/67365	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2010:28:14%20GMT	https://www.switchmobilityev.com/en/current-vehicles	D:/BroaddCast/Switch/www.switchmobilityev.com/en/current-vehicles.html	(from https://www.switchmobilityev.com/en)
15:58:17	133335/133335	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2010:28:15%20GMT	https://www.switchmobilityev.com/en/switch-e1	D:/BroaddCast/Switch/www.switchmobilityev.com/en/switch-e1.html	(from https://www.switchmobilityev.com/en)
15:58:17	131625/131625	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2010:28:15%20GMT	https://www.switchmobilityev.com/en/switch-eiv12	D:/BroaddCast/Switch/www.switchmobilityev.com/en/switch-eiv12.html	(from https://www.switchmobilityev.com/en)
